3EQ0,2TS,[H]/N=C(\N)/NCCC[C@H](C(=O)N1CCC[C@H]1C(=O)NCc2cc(ccc2CN)Cl)NS(=O)(=O)Cc3ccccc3
3F68,91U,CC(=O)N[C@H](CC1CCCCC1)C(=O)N2CCC[C@H]2C(=O)NCc3cccc(c3)Cl
3LDX,NLI,[H]/N=C(\N)/NOCCNC(=O)CN1C(=CN=C(C1=O)NCC(c2ccccc2)(F)F)C
3NXP,TRS,C(C(CO)(CO)[NH3+])O
3P17,99P,c1ccc(cc1)C[C@H](C(=O)N2CCC[C@H]2C(=O)NCc3cccnc3)N
3PO1,MKY,[H]/N=C(\N)/N=C\1/N(c2ccc(cc2S1)O)CC(=O)OCC
3QTO,10P,C[n+]1cccc(c1)CNC(=O)[C@@H]2CCCN2C(=O)[C@@H](Cc3ccccc3)N
3QTV,06P,C[n+]1ccc(cc1)CNC(=O)[C@@H]2CCCN2C(=O)[C@@H](Cc3ccccc3)N
3QWC,98P,C[n+]1ccc(c(c1)CNC(=O)[C@@H]2CCCN2C(=O)[C@@H](Cc3ccccc3)N)Cl
3QX5,02P,C[n+]1ccc(cc1CNC(=O)[C@@H]2CCCN2C(=O)[C@@H](Cc3ccccc3)N)Cl
3RLW,S28,[H]/N=C(/c1ccc(cc1)CNC(=O)[C@@H]2CCCN2C(=O)CNS(=O)(=O)Cc3ccccc3)\\N
3RLY,S29,[H]/N=C(/c1ccc(cc1)CNC(=O)[C@@H]2CCCN2C(=O)[C@@H](C)NS(=O)(=O)Cc3ccccc3)\\N
3RM0,S54,[H]/N=C(/c1ccc(cc1)CNC(=O)[C@@H]2CCCN2C(=O)[C@@H](C(C)C)NS(=O)(=O)Cc3ccccc3)\\N
3RM2,S00,[H]/N=C(/c1ccc(cc1)CNC(=O)[C@@H]2CCCN2C(=O)[C@@H](CC3CCCCC3)NS(=O)(=O)Cc4ccccc4)\\N
3RML,M31,c1ccc(cc1)CS(=O)(=O)NCC(=O)N2CCC[C@H]2C(=O)NCc3cc(ccc3CN)Cl
3RMM,M32,C[C@H](C(=O)N1CCC[C@H]1C(=O)NCc2cc(ccc2CN)Cl)NS(=O)(=O)Cc3ccccc3
3RMN,M41,CC(C)[C@H](C(=O)N1CCC[C@H]1C(=O)NCc2cc(ccc2CN)Cl)NS(=O)(=O)Cc3ccccc3
3RMO,S04,c1ccc(cc1)CS(=O)(=O)N[C@H](CC2CCCCC2)C(=O)N3CCC[C@H]3C(=O)NCc4cc(ccc4CN)Cl
3SHA,P97,c1ccc(cc1)C[C@H](C(=O)N2CCC[C@H]2C(=O)NCc3cnccc3Cl)N
3SHC,B01,c1ccc(cc1)C[C@H](C(=O)N2CCC[C@H]2C(=O)NCc3cc(ccn3)Cl)N
3SI3,B03,c1ccc(cc1)C[C@H](C(=O)N2CCC[C@H]2C(=O)NCc3ccccn3)N
3SI4,B04,C[n+]1ccccc1CNC(=O)[C@@H]2CCCN2C(=O)[C@@H](Cc3ccccc3)N
3SV2,P05,c1ccc(cc1)C[C@H](C(=O)N2CCC[C@H]2C(=O)NCc3ccncc3)N
3T5F,M34,CC(C)C[C@H](C(=O)N1CCC[C@H]1C(=O)NCc2cc(ccc2CN)Cl)NS(=O)(=O)Cc3ccccc3
3TU7,0BM,[H]/N=C(\N)/N1CCC(CC1)CNC(=O)[C@@H]2CCCN2C(=O)[C@@H](Cc3ccccc3)NS(=O)(=O)C
3U69,BCN,C(CO)N(CCO)CC(=O)O
